"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2020","1,943.76","2,034.19","2,050.01","1,864.30","","-4.47%"
"08/02/2020","2,034.62","1,980.98","2,073.41","1,960.40","","3.04%"
"07/26/2020","1,974.69","1,899.99","1,981.22","1,899.73","","3.88%"
"07/19/2020","1,900.97","1,809.58","1,906.54","1,805.60","","5.09%"
"07/12/2020","1,808.90","1,799.01","1,814.79","1,791.46","","0.59%"
"07/05/2020","1,798.31","1,776.31","1,818.13","1,770.13","","1.33%"
"06/28/2020","1,774.79","1,773.74","1,789.48","1,757.68","","0.24%"
"06/21/2020","1,770.62","1,748.78","1,779.61","1,743.27","","1.59%"
"06/14/2020","1,742.84","1,732.32","1,745.36","1,704.31","","0.76%"
"06/07/2020","1,729.77","1,684.65","1,744.92","1,677.52","","2.64%"
"05/31/2020","1,685.23","1,738.05","1,745.26","1,670.74","","-2.38%"
"05/24/2020","1,726.30","1,734.61","1,737.71","1,693.82","","-0.45%"
"05/17/2020","1,734.07","1,743.01","1,765.94","1,717.10","","-0.40%"
"05/10/2020","1,741.00","1,702.65","1,752.13","1,691.59","","2.37%"
"05/03/2020","1,700.65","1,699.00","1,723.91","1,682.28","","0.09%"
"04/26/2020","1,699.12","1,726.15","1,727.93","1,670.06","","-1.64%"
"04/19/2020","1,727.43","1,692.25","1,739.74","1,661.39","","2.57%"
"04/12/2020","1,684.19","1,685.69","1,747.85","1,674.87","","-0.28%"
"04/05/2020","1,688.90","1,597.50","1,697.50","1,597.50","","4.48%"
"03/29/2020","1,616.45","1,622.00","1,639.61","1,565.74","","-0.06%"
"03/22/2020","1,617.50","1,508.15","1,647.28","1,485.10","","8.00%"
"03/15/2020","1,497.64","1,550.55","1,573.49","1,451.50","","-2.07%"
"03/08/2020","1,529.31","1,694.40","1,702.96","1,506.86","","-8.64%"
"03/01/2020","1,673.85","1,591.10","1,692.10","1,579.70","","5.62%"
"02/23/2020","1,584.74","1,659.05","1,689.11","1,565.86","","-3.56%"
"02/16/2020","1,643.32","1,584.70","1,649.15","1,578.60","","3.72%"
"02/09/2020","1,584.32","1,570.29","1,585.05","1,561.80","","0.92%"
"02/02/2020","1,569.91","1,590.20","1,591.84","1,547.40","","-1.25%"
"01/26/2020","1,589.81","1,580.10","1,590.21","1,563.21","","1.24%"
"01/19/2020","1,570.36","1,558.65","1,576.01","1,546.41","","0.91%"
"01/12/2020","1,556.22","1,562.29","1,562.30","1,536.12","","-0.37%"
"01/05/2020","1,562.03","1,561.15","1,611.15","1,540.18","","0.69%"
